연월일,읍면동,법정동리,인구(계),인구(남),인구(여),세대수,기준일자
2021-01-31,회천1동,덕정동,8475,4334,4141,3849,2022-12-20
2021-01-31,회천1동,봉양동,1294,813,481,831,2022-12-20
2021-01-31,회천2동,덕계동,21912,11123,10789,9324,2022-12-20
2021-01-31,회천2동,회정동,5303,2697,2606,2220,2022-12-20
2021-01-31,회천3동,덕정동,10421,5168,5253,3700,2022-12-20
2021-01-31,회천3동,고암동,17278,8562,8716,7241,2022-12-20
2021-01-31,회천4동,회암동,967,560,407,548,2022-12-20
2021-01-31,회천4동,율정동,573,352,221,369,2022-12-20
2021-01-31,회천4동,옥정동,47640,23903,23737,18999,2022-12-20
2021-02-28,백석읍,방성리,6338,3301,3037,3139,2022-12-20
2021-02-28,백석읍,오산리,3569,1817,1752,1601,2022-12-20
2021-02-28,백석읍,복지리,9503,4653,4850,3546,2022-12-20
2021-02-28,백석읍,가업리,4855,2403,2452,2042,2022-12-20
2021-02-28,백석읍,홍죽리,892,489,403,484,2022-12-20
2021-02-28,백석읍,연곡리,692,385,307,351,2022-12-20
2021-02-28,백석읍,기산리,496,272,224,364,2022-12-20
2021-02-28,은현면,용암리,1304,742,562,683,2022-12-20
2021-02-28,은현면,선암리,1191,687,504,640,2022-12-20
2021-02-28,은현면,운암리,763,438,325,410,2022-12-20
2021-02-28,은현면,봉암리,943,532,411,528,2022-12-20
2021-02-28,은현면,하패리,1016,568,448,535,2022-12-20
2021-02-28,은현면,도하리,717,407,310,388,2022-12-20
2021-02-28,남면,신산리,3079,1679,1400,1565,2022-12-20
2021-02-28,남면,신암리,349,192,157,205,2022-12-20
2021-02-28,남면,매곡리,318,147,171,176,2022-12-20
2021-02-28,남면,구암리,395,229,166,223,2022-12-20
2021-02-28,남면,두곡리,147,82,65,101,2022-12-20
2021-02-28,남면,경신리,294,188,106,180,2022-12-20
2021-02-28,남면,상수리,1040,607,433,616,2022-12-20
2021-02-28,남면,입암리,418,255,163,253,2022-12-20
2021-02-28,남면,한산리,575,320,255,318,2022-12-20
2021-02-28,남면,황방리,335,185,150,163,2022-12-20
2021-02-28,광적면,가납리,5364,2874,2490,2616,2022-12-20
2021-02-28,광적면,광석리,1405,733,672,620,2022-12-20
2021-02-28,광적면,우고리,646,273,373,246,2022-12-20
2021-02-28,광적면,비암리,363,180,183,207,2022-12-20
2021-02-28,광적면,효촌리,560,316,244,278,2022-12-20
2021-02-28,광적면,덕도리,891,519,372,487,2022-12-20
2021-02-28,광적면,석우리,2719,1542,1177,1500,2022-12-20
2021-02-28,장흥면,교현리,1103,621,482,521,2022-12-20
2021-02-28,장흥면,울대리,754,426,328,376,2022-12-20
2021-02-28,장흥면,부곡리,3766,1838,1928,1752,2022-12-20
2021-02-28,장흥면,석현리,407,209,198,249,2022-12-20
2021-02-28,장흥면,일영리,2726,1336,1390,1390,2022-12-20
2021-02-28,장흥면,삼상리,1003,547,456,475,2022-12-20
2021-02-28,장흥면,삼하리,684,369,315,330,2022-12-20
2021-02-28,양주1동,유양동,706,393,313,383,2022-12-20
2021-02-28,양주1동,어둔동,330,176,154,157,2022-12-20
2021-02-28,양주1동,남방동,1156,617,539,686,2022-12-20
2021-02-28,양주1동,마전동,564,302,262,302,2022-12-20
2021-02-28,양주1동,산북동,2597,1327,1270,1202,2022-12-20
2021-02-28,양주2동,광사동,11547,5819,5728,4762,2022-12-20
2021-02-28,양주2동,만송동,9300,4366,4934,3996,2022-12-20
2021-02-28,양주2동,삼숭동,20103,9875,10228,7225,2022-12-20
2021-02-28,양주2동,고읍동,9058,4387,4671,3136,2022-12-20
2021-02-28,회천1동,덕정동,8452,4331,4121,3855,2022-12-20
2021-02-28,회천1동,봉양동,1290,806,484,836,2022-12-20
2021-02-28,회천2동,덕계동,21869,11101,10768,9319,2022-12-20
2021-02-28,회천2동,회정동,5267,2683,2584,2217,2022-12-20
2021-02-28,회천3동,덕정동,10307,5111,5196,3682,2022-12-20
2021-02-28,회천3동,고암동,17175,8506,8669,7233,2022-12-20
2021-02-28,회천4동,회암동,951,553,398,549,2022-12-20
2021-02-28,회천4동,율정동,575,353,222,372,2022-12-20
2021-02-28,회천4동,옥정동,50205,25151,25054,19877,2022-12-20
2021-03-31,백석읍,방성리,6338,3301,3037,3139,2022-12-20
2021-03-31,백석읍,오산리,3569,1817,1752,1601,2022-12-20
2021-03-31,백석읍,복지리,9503,4653,4850,3546,2022-12-20
2021-03-31,백석읍,가업리,4855,2403,2452,2042,2022-12-20
2021-03-31,백석읍,홍죽리,892,489,403,484,2022-12-20
2021-03-31,백석읍,연곡리,692,385,307,351,2022-12-20
2021-03-31,백석읍,기산리,496,272,224,364,2022-12-20
2021-03-31,은현면,용암리,1304,742,562,683,2022-12-20
2021-03-31,은현면,선암리,1191,687,504,640,2022-12-20
2021-03-31,은현면,운암리,763,438,325,410,2022-12-20
2021-03-31,은현면,봉암리,943,532,411,528,2022-12-20
2021-03-31,은현면,하패리,1016,568,448,535,2022-12-20
2021-03-31,은현면,도하리,717,407,310,388,2022-12-20
2021-03-31,남면,신산리,3079,1679,1400,1565,2022-12-20
2021-03-31,남면,신암리,349,192,157,205,2022-12-20
2021-03-31,남면,매곡리,318,147,171,176,2022-12-20
2021-03-31,남면,구암리,395,229,166,223,2022-12-20
2021-03-31,남면,두곡리,147,82,65,101,2022-12-20
2021-03-31,남면,경신리,294,188,106,180,2022-12-20
2021-03-31,남면,상수리,1040,607,433,616,2022-12-20
2021-03-31,남면,입암리,418,255,163,253,2022-12-20
2021-03-31,남면,한산리,575,320,255,318,2022-12-20
2021-03-31,남면,황방리,335,185,150,163,2022-12-20
2021-03-31,광적면,가납리,5364,2874,2490,2616,2022-12-20
2021-03-31,광적면,광석리,1405,733,672,620,2022-12-20
2021-03-31,광적면,우고리,646,273,373,246,2022-12-20
2021-03-31,광적면,비암리,363,180,183,207,2022-12-20
2021-03-31,광적면,효촌리,560,316,244,278,2022-12-20
2021-03-31,광적면,덕도리,891,519,372,487,2022-12-20
2021-03-31,광적면,석우리,2719,1542,1177,1500,2022-12-20
2021-03-31,장흥면,교현리,1103,621,482,521,2022-12-20
